Name;spectrum_20140711_1648520.csv;spectrum_20140711_1648538.csv;spectrum_20140711_1648545.csv;spectrum_20140711_1648551.csv;spectrum_20140711_1648554.csv;spectrum_20140711_1649482.csv;spectrum_20140711_1649491.csv;spectrum_20140711_1649508.csv;spectrum_20140711_1649516.csv;spectrum_20140711_1649523.csv;spectrum_20140711_1650098.csv;spectrum_20140711_1650106.csv;spectrum_20140711_1650113.csv;spectrum_20140711_1650232.csv;spectrum_20140711_1650241.csv;spectrum_20140711_1650289.csv;spectrum_20140711_1650298.csv;spectrum_20140711_1650306.csv;spectrum_20140711_1650312.csv;spectrum_20140711_1650314.csv;spectrum_20140711_1650511.csv;spectrum_20140711_1650522.csv;spectrum_20140711_1650530.csv;spectrum_20140711_1650599.csv;spectrum_20140711_1651047.csv;spectrum_20140711_1651092.csv;spectrum_20140711_1651102.csv;spectrum_20140711_1651199.csv;spectrum_20140711_1651215.csv;spectrum_20140711_1651264.csv;spectrum_20140711_1651297.csv;spectrum_20140711_1651305.csv;spectrum_20140711_1651314.csv;spectrum_20140711_1651323.csv
Time;20140711_1648520;20140711_1648538;20140711_1648545;20140711_1648551;20140711_1648554;20140711_1649482;20140711_1649491;20140711_1649508;20140711_1649516;20140711_1649523;20140711_1650098;20140711_1650106;20140711_1650113;20140711_1650232;20140711_1650241;20140711_1650289;20140711_1650298;20140711_1650306;20140711_1650312;20140711_1650314;20140711_1650511;20140711_1650522;20140711_1650530;20140711_1650599;20140711_1651047;20140711_1651092;20140711_1651102;20140711_1651199;20140711_1651215;20140711_1651264;20140711_1651297;20140711_1651305;20140711_1651314;20140711_1651323
IT;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788;76788
741.14;0.116125025;0.11239768;0.07579834;0.4281013;0.42768565;0.17329982;0.28813937;0.3017223;0.28112778;0.30139673;0.31413257;0.32482618;0.19657698;0.22065906;0.36401245;0.3928622;0.34719282;0.32943034;0.37460068;0.37589172;0.40791303;0.3679868;0.35913262;0.3868703;0.23488775;0.31686288;0.33167124;0.35082194;0.33265334;0.334162;0.30901304;0.19290566;0.3479558;0.3254134
741.62;0.11704847;0.113574564;0.0765134;0.42930162;0.42878535;0.17422976;0.29221585;0.30621055;0.28863057;0.30646688;0.31971672;0.33014736;0.20061788;0.22374076;0.36959216;0.3991403;0.35288104;0.3364826;0.37959084;0.37949857;0.41554472;0.37337482;0.36427486;0.39253384;0.2374147;0.32245994;0.33939376;0.35698932;0.33939856;0.3396193;0.31476548;0.19487499;0.35210398;0.3291498
742.11;0.11687639;0.11324272;0.07659171;0.4276788;0.42757595;0.17516388;0.2913508;0.3096657;0.2898908;0.308994;0.32399228;0.3335924;0.20139249;0.22526987;0.37317517;0.40427974;0.35678825;0.33913895;0.38328245;0.38421306;0.41947788;0.3781017;0.3690537;0.3970154;0.24041626;0.3261634;0.34244;0.3609837;0.34363222;0.3426169;0.3178976;0.19823815;0.3569029;0.33228442
742.59;0.117419735;0.11374422;0.07630542;0.42937344;0.42844874;0.17522839;0.2913438;0.31571737;0.29470485;0.31248334;0.32973316;0.33825395;0.20374209;0.22765534;0.37953842;0.41210595;0.3618956;0.34612304;0.38936412;0.3900252;0.42536667;0.38553536;0.37487134;0.40138373;0.24346098;0.33049867;0.34770584;0.36728555;0.35004324;0.34794667;0.32196978;0.2001469;0.36269712;0.33735117
743.08;0.117120035;0.114306465;0.07718078;0.43133545;0.4301916;0.17649883;0.2934108;0.31875575;0.297289;0.3177134;0.33298844;0.34415498;0.20677234;0.2303366;0.38506317;0.4170636;0.36668727;0.3505802;0.3945278;0.3952978;0.43328878;0.3900716;0.37977135;0.40701762;0.24479996;0.33406863;0.3528944;0.37353924;0.35475594;0.3533081;0.32441255;0.20276818;0.36717907;0.34283888
743.57;0.11761123;0.113959;0.07636379;0.42989188;0.42855632;0.1760505;0.29263994;0.32269713;0.30090162;0.32045093;0.33575302;0.3479256;0.20755538;0.23289421;0.38971153;0.42224538;0.3708088;0.3531901;0.39955035;0.40013105;0.4363313;0.39497367;0.3840153;0.40999728;0.24748988;0.3389112;0.3561816;0.37782797;0.3590773;0.35787302;0.32878628;0.20493004;0.37064135;0.3463398
744.05;0.11713503;0.113141775;0.07553727;0.42795855;0.42795855;0.17584768;0.2933708;0.323866;0.30326322;0.32320333;0.33896977;0.3505656;0.20856805;0.23291367;0.39231744;0.42519704;0.37433088;0.35632402;0.40214902;0.40302345;0.44301605;0.39948332;0.38867113;0.411725;0.2503166;0.34198686;0.3605317;0.38229802;0.3630482;0.36188972;0.33184513;0.2061939;0.3741815;0.35029835
744.54;0.11715799;0.11355577;0.075386316;0.4300354;0.42972437;0.17686404;0.29458654;0.32900962;0.3071371;0.32810658;0.34578976;0.3551938;0.21133281;0.23759502;0.39733762;0.42939112;0.3806728;0.36160678;0.4087992;0.40899822;0.44680405;0.4054688;0.3955066;0.4188836;0.25164002;0.3473929;0.36634523;0.38760254;0.3691435;0.3663955;0.33784527;0.20883837;0.38079607;0.35559887
745.03;0.117391475;0.11264113;0.07668628;0.4318161;0.43003637;0.17776746;0.2936159;0.33266538;0.3095793;0.33190474;0.3492886;0.35962975;0.21520852;0.24038833;0.4036487;0.4377224;0.3843481;0.3676064;0.41545334;0.41627163;0.4539503;0.41142994;0.39985618;0.4234842;0.2541697;0.3516447;0.3700482;0.3942445;0.37419948;0.37142938;0.3429892;0.2116681;0.386935;0.36175725
745.51;0.11796264;0.11466218;0.076390885;0.4328097;0.43197215;0.17853256;0.2969862;0.33621025;0.31703863;0.33707103;0.3552916;0.3644087;0.21753435;0.24254157;0.409853;0.4440276;0.39203674;0.37277555;0.4220671;0.42227364;0.4604558;0.41675386;0.4062129;0.42966765;0.25665075;0.3566008;0.3757491;0.39897475;0.38084516;0.3772265;0.34656152;0.2140429;0.39284536;0.36607707
746;0.118211046;0.11267392;0.0766388;0.4297413;0.42912117;0.17668757;0.29475254;0.33772033;0.31655273;0.33810166;0.3577812;0.36754116;0.21730825;0.24332172;0.4126065;0.44693938;0.3935839;0.3739729;0.42365092;0.42396012;0.463524;0.42012152;0.4101162;0.4301702;0.25833222;0.35844988;0.37575588;0.40234682;0.3815178;0.37827688;0.3482985;0.21575211;0.3937677;0.36912838
746.49;0.119357154;0.113712996;0.075978525;0.43287048;0.43182012;0.17896256;0.29684204;0.34266853;0.32026878;0.3431954;0.36154705;0.37115806;0.21971886;0.2464656;0.41791382;0.4519776;0.40000102;0.38030097;0.4283269;0.42885205;0.4686371;0.4252713;0.413058;0.4357239;0.2608902;0.36365092;0.3822179;0.40763748;0.3899658;0.38534233;0.3521354;0.21825948;0.39940938;0.3730774
