Name;spectrum_20140711_1722139.csv;spectrum_20140711_1722141.csv;spectrum_20140711_1722159.csv;spectrum_20140711_1722161.csv;spectrum_20140711_1722178.csv
Time;20140711_1722139;20140711_1722141;20140711_1722159;20140711_1722161;20140711_1722178
705.27;0.7697779;0.04529069;0.045572963;0.044677883;0.046709094
705.75;0.7711198;0.04387355;0.0442241;0.043492414;0.045536194
706.24;0.76487964;0.044456698;0.044973537;0.044235986;0.045847267
706.72;0.7685083;0.04457334;0.044831015;0.043821543;0.0457021
707.2;0.7730065;0.044629253;0.04472312;0.043562382;0.045634024
707.69;0.7766965;0.044736806;0.04559564;0.044162992;0.046395313
708.17;0.7745597;0.04427605;0.044938393;0.044153318;0.046158787
708.65;0.7564569;0.04337264;0.043400846;0.04338753;0.04472098
709.14;0.76695305;0.044269044;0.04413777;0.043735437;0.04528161
709.62;0.77826977;0.044791467;0.045000087;0.044222303;0.046550333
710.1;0.7750011;0.044679403;0.04494178;0.043879677;0.046267204
710.59;0.7686281;0.044240914;0.04413542;0.04333663;0.04531009
711.07;0.7690453;0.0448478;0.044427086;0.0440362;0.04557546
711.56;0.7784376;0.044781577;0.04490696;0.044016555;0.04596869
712.04;0.7751747;0.04481909;0.04521897;0.044340104;0.046474144
712.52;0.76991653;0.045058917;0.045108225;0.044026624;0.04680074
713.01;0.7782976;0.045134984;0.045195766;0.04388721;0.046617884
713.49;0.78251135;0.04483939;0.044895682;0.044502825;0.04615875
713.97;0.7865421;0.04546492;0.045434147;0.044555135;0.046924807
714.46;0.79135484;0.045876205;0.046092026;0.044557553;0.047394067
714.94;0.80347633;0.046514515;0.046553794;0.04540248;0.048203863
715.43;0.80935854;0.047238804;0.046714127;0.045839664;0.04835544
715.91;0.83620363;0.04867552;0.049085293;0.047937654;0.049804926
716.39;0.849425;0.049822792;0.04975322;0.04898382;0.05144179
716.88;0.85895795;0.049824517;0.050191034;0.04899165;0.05210538
717.36;0.8704353;0.049851317;0.04961194;0.04909987;0.051949877
717.85;0.88864017;0.051752005;0.051319994;0.05018986;0.05204932
718.33;0.86264914;0.050914932;0.05052139;0.049590845;0.051916376
718.81;0.83325523;0.048299354;0.047760952;0.047418397;0.04960005
719.3;0.8040506;0.04622983;0.0466347;0.045767505;0.04779952
719.78;0.76035595;0.04484007;0.045224164;0.044182237;0.046446178
720.27;0.74113667;0.043302737;0.043304592;0.043288212;0.04466081
720.75;0.7050271;0.04071602;0.04049026;0.04032695;0.041863345
721.24;0.6954057;0.040840253;0.040136084;0.04007992;0.04213312
721.72;0.6972583;0.040907245;0.040820677;0.040549975;0.04197829
722.21;0.70935637;0.042137586;0.042337142;0.041211538;0.042837184
722.69;0.7458502;0.043457545;0.043587774;0.042846464;0.044586945
723.17;0.791945;0.0462516;0.045919154;0.04558588;0.047797192
723.66;0.81772435;0.04783697;0.047975864;0.047641944;0.04932526
724.14;0.81826514;0.048410777;0.048698314;0.04754396;0.049562614
724.63;0.8290623;0.048502617;0.048309814;0.04755986;0.04951458
725.11;0.8166594;0.047432706;0.048306044;0.046729356;0.048966862
725.6;0.79243666;0.04653241;0.04647851;0.04634609;0.04762692
726.08;0.7716302;0.045671493;0.04524118;0.04453555;0.04619436
726.57;0.7719127;0.045335118;0.04554743;0.04421652;0.0463885
727.05;0.77571255;0.045666073;0.045770794;0.045186177;0.046800748
727.54;0.7643954;0.044266656;0.04416758;0.042859938;0.04519187
728.02;0.76665974;0.045063917;0.04513769;0.044568364;0.046628047
728.51;0.7794023;0.04539124;0.045674898;0.044838052;0.0471838
728.99;0.7751112;0.044652604;0.044068728;0.0437556;0.045802668
729.48;0.7775838;0.04590549;0.046212867;0.045515038;0.047532383
729.96;0.7558831;0.04444367;0.04472343;0.04385665;0.04558944
730.45;0.7664155;0.04425759;0.044841085;0.044423882;0.046053324
730.93;0.7722942;0.044849083;0.04425386;0.043964025;0.04595348
731.42;0.743029;0.044610698;0.044561747;0.0429285;0.045721978
731.91;0.7495572;0.044071;0.043899845;0.042929992;0.04474491
732.39;0.73978776;0.04365681;0.043402117;0.043195568;0.04458172
732.88;0.72055405;0.042788498;0.04253581;0.042617656;0.04420703
733.36;0.7380993;0.04447867;0.04406695;0.043572806;0.045218375
733.85;0.7347257;0.04307857;0.043285776;0.042466592;0.04427403
734.33;0.7577661;0.043776255;0.044782072;0.043541316;0.045977656
734.82;0.76693684;0.045569897;0.044996295;0.044983547;0.047275044
735.3;0.76804465;0.044826902;0.044902664;0.04354606;0.046351004
735.79;0.78315926;0.046017874;0.046219174;0.045518547;0.047670357
736.28;0.79050815;0.046362203;0.046930283;0.04493507;0.048012912
736.76;0.78916854;0.045217842;0.04510816;0.044171672;0.04609216
737.25;0.78827035;0.046468426;0.04626361;0.04570851;0.04811937
737.73;0.7817403;0.045743667;0.04611567;0.045019284;0.04702092
738.22;0.7909118;0.04661561;0.047253177;0.046021562;0.047641978
738.7;0.78536206;0.04608401;0.04607705;0.04545889;0.047010068
739.19;0.78053653;0.045403745;0.04578047;0.04488415;0.047064126
739.68;0.78367513;0.045695577;0.04580967;0.044755165;0.047271475
740.16;0.77697253;0.046641123;0.046699762;0.04526714;0.0480897
740.65;0.7878154;0.046326805;0.045984242;0.044903655;0.047868803
741.14;0.791077;0.045723476;0.046065323;0.045419227;0.047581073
741.62;0.790626;0.046262015;0.04656487;0.045573846;0.04784545
742.11;0.783978;0.046097264;0.04615499;0.045807198;0.047533795
742.59;0.7855967;0.046570495;0.047013402;0.045709893;0.047315393
743.08;0.7803313;0.0469129;0.04612062;0.04531822;0.04706166
743.57;0.7895327;0.047086623;0.045865975;0.045504183;0.048076455
744.05;0.78923386;0.047716662;0.0473971;0.04653181;0.049092628
744.54;0.7945085;0.04688779;0.04748312;0.046493787;0.04809759
745.03;0.78984076;0.047214955;0.046898726;0.04610756;0.04819055
745.51;0.7964023;0.0469042;0.046993397;0.046369202;0.04809525
746;0.8020487;0.04684307;0.04744237;0.046500456;0.048758335
746.49;0.7897554;0.046777364;0.04655906;0.046043582;0.048145242
746.97;0.79463154;0.04647795;0.046319716;0.045876037;0.04744135
747.46;0.8054297;0.046946622;0.04772491;0.04649567;0.04914097
747.95;0.8253612;0.04832773;0.04836735;0.047346465;0.04981035
748.43;0.80544263;0.047856133;0.047300015;0.046346094;0.0489748
748.92;0.80707085;0.048249733;0.047508556;0.046484597;0.048855685
749.41;0.815191;0.048272274;0.04799166;0.04746825;0.048662957
749.89;0.8078324;0.048291963;0.04766962;0.047177114;0.048998084
750.38;0.81745183;0.047627077;0.04776648;0.047154587;0.04895899
750.87;0.80916876;0.048193093;0.047603313;0.046603598;0.04922317
751.35;0.8081699;0.047955163;0.047640957;0.0470653;0.049050644
751.84;0.82165384;0.048499223;0.049584184;0.047314364;0.050244853
752.33;0.8155191;0.048122328;0.04834786;0.047272086;0.049601205
752.82;0.8018221;0.04801428;0.04814026;0.04725287;0.049726784
753.3;0.8147955;0.047218088;0.047388583;0.04643581;0.04848122
753.79;0.81584734;0.047709502;0.048613098;0.047009688;0.050101403
754.28;0.81559753;0.048915334;0.048361283;0.04723533;0.049141098
754.76;0.82656354;0.049099643;0.04968651;0.048523284;0.050694317
755.25;0.82585776;0.048288047;0.048687343;0.04825636;0.05079306
755.74;0.81670105;0.04893903;0.04921421;0.04803432;0.050989285
756.23;0.82380855;0.04986782;0.0500041;0.04819709;0.050971612
756.71;0.83764637;0.050031465;0.050170805;0.04857469;0.051304538
757.2;0.83654076;0.04935573;0.04935124;0.04836417;0.050672013
757.69;0.8577083;0.049915623;0.05007768;0.049152263;0.052452046
758.18;0.90278643;0.051489998;0.052274957;0.050175324;0.05304892
758.66;0.985799;0.05734835;0.0573469;0.056511898;0.05872417
759.15;1.1033577;0.06576572;0.06693462;0.06539263;0.06829936
759.64;1.2261566;0.071297824;0.07289613;0.0716412;0.074953884
760.13;1.360182;0.08269945;0.08269853;0.080321126;0.083530955
760.62;1.457619;0.085086;0.08741514;0.08416161;0.08808109
761.1;1.3628559;0.082216285;0.08372372;0.08178888;0.08661599
761.59;1.1254029;0.0684688;0.06920403;0.067860276;0.07288289
762.08;0.8778948;0.054204173;0.05488975;0.053725936;0.055233672
762.57;0.7075629;0.044470645;0.04414996;0.043692823;0.044791564
763.06;0.6428881;0.041158944;0.041155618;0.040751573;0.04085263
763.54;0.6707292;0.04235684;0.043503497;0.041227642;0.044381283
764.03;0.69341785;0.04188157;0.044169486;0.04221027;0.04446266
764.52;0.6911339;0.04250123;0.042786025;0.041139435;0.04331251
765.01;0.63688713;0.038533073;0.039259918;0.037553668;0.03998057
765.5;0.6327823;0.038824793;0.038838964;0.03796232;0.04021755
765.98;0.61596626;0.03692268;0.036894973;0.03570738;0.037953038
766.47;0.64064;0.039290708;0.039714947;0.03806678;0.041315064
766.96;0.6526141;0.04095661;0.040551666;0.03945403;0.041528344
767.45;0.6636788;0.040351268;0.04158047;0.040245492;0.042128954
767.94;0.7013814;0.042451717;0.042515006;0.041254602;0.04316333
768.43;0.7206949;0.043043442;0.042507946;0.041947704;0.04452417
768.92;0.7432456;0.04215272;0.042441383;0.041942526;0.043485586
769.4;0.7748121;0.0465454;0.04679025;0.045938376;0.047931697
