Name;spectrum_20140711_1722139,csv;spectrum_20140711_1722141,csv;;;;;;;;;;;;;;;;
Time;20140711_1722139;20140711_1722141;;;;Configuración 1;Tolerancia;0,08;;;;;Configuración 2;Tolerancia;0,08;;;
378,38;0,3716802;0,08290989;;;;;;;;;;;;;;;;
378,84;0,39033622;0,08638622;;;;;;;;;;;;;;;;
379,29;0,38948748;0,07901701;;;;;;;;;;;;;;;;
379,75;0,40648058;0,08309155;;;;;;;;;;;;;;;;
380,21;0,41353056;0,09107053;;;;;;;;;;;;;;;;
380,67;0,41617915;0,08671939;;;;;;;;;;;;;;;;
381,12;0,41149879;0,07821605;;;;;;;;;;;;;;;;
381,58;0,432955;0,08490644;;;;;;;;;;;;;;;;
382,04;0,45294437;0,09383523;;;;;;;;;;;;;;;;
382,49;0,44355944;0,098787576;;;;;;;;;;;;;;;;
382,95;0,41912842;0,08826252;;;;;;;;;;;;;;;;
383,41;0,39244246;0,08176604;;;;;;;;;;;;;;;;
383,87;0,36617053;0,07519706;;;;;;;;;;;;;;;;
384,32;0,35114807;0,0741664;;;;;;;;;;;;;;;;
384,78;0,34442964;0,06468041;;;;;;;;;;;;;;;;
385,24;0,3617373;0,07137029;;;;;;;;;;;;;;;;
385,7;0,36951762;0,07343139;;;;;;;;;;;;;;;;
386,15;0,38605905;0,077574216;;;;;;;;;;;;;;;;
386,61;0,38824546;0,07330071;;;;;;;;;;;;;;;;
387,07;0,39148176;0,070631236;;;;;;;;;;;;;;;;
387,53;0,3888439;0,07090186;;;;;;;;;;;;;;;;
387,98;0,38255122;0,06590083;;;;;;;;;;;;;;;;
388,44;0,37091452;0,06407507;;;;;;;;;;;;;;;;
388,9;0,3585774;0,06622202;;;;;;;;;;;;;;;;
389,36;0,35766074;0,0619711;;;;;;;;;;;;;;;;
389,82;0,3516387;0,06080313;;;;;;;;;;;;;;;;
390,27;0,36650777;0,06379477;;;;;;;;;;;;;;;;
390,73;0,38231698;0,06341792;;;;;;;;;;;;;;;;
391,19;0,40494248;0,06642696;;;;;;;;;;;;;;;;
391,65;0,45016637;0,07614356;;;;;;;;;;;;;;;;
392,1;0,4602439;0,073629454;;;;;;;;;;;;;;;;
392,56;0,45395464;0,07428198;;;;;;;;;;;;;;;;
393,02;0,4396272;0,07539939;;;;;;;;;;;;;;;;
393,48;0,40211958;0,06584327;;;;;;;;;;;;;;;;
393,94;0,3631131;0,060747962;;;;;;;;;;;;;;;;
394,4;0,33853948;0,05463668;;;;;;;;;;;;;;;;
394,85;0,34051055;0,05450148;;;;;;;;;;;;;;;;
395,31;0,36026004;0,057054423;;;;;;;;;;;;;;;;
395,77;0,39363348;0,06279942;;;;;;;;;;;;;;;;
396,23;0,3998414;0,06471533;;;;;;;;;;;;;;;;
396,69;0,3964252;0,061508104;;;;;;;;;;;;;;;;
397,14;0,3770908;0,059174206;;;;;;;;;;;;;;;;
397,6;0,34389398;0,054518715;;;;;;;;;;;;;;;;
398,06;0,31332505;0,04599493;;;;;;;;;;;;;;;;
398,52;0,3095234;0,04348646;;;;;;;;;;;;;;;;
398,98;0,3316042;0,047591373;;;;;;;;;;;;;;;;
399,44;0,34850457;0,050870474;;;;;;;;;;;;;;;;
399,9;0,37359798;0,05464262;;;;;;;;;;;;;;;;
400,35;0,37815964;0,052276537;;;;;;;;;;;;;;;;
