20140708_1422565; temp=;30.725.582;IT = ;88172;spec num=;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337.39;337.85;338.3;338.76;339.21;339.66;340.12;340.57;341.03;341.48;341.94;342.39;342.84;343.3;343.75;344.21;344.66;345.12;345.57;346.02;346.48;346.93;347.39;347.84;348.3;348.75;349.21;349.66;350.12;350.57;351.03;351.48;351.94;352.39;352.85;353.3;353.76;354.21;354.67;355.12;355.58;356.03;356.49;356.94;357.4;357.85;358.31;358.76;359.22;359.68;360.13;360.59;361.04;361.5;361.95;362.41;362.86;363.32;363.78;364.23;364.69;365.14;365.6;366.06;366.51;366.97;367.42;367.88;368.34;368.79;369.25;369.71;370.16;370.62;371.07;371.53;371.99;372.44;372.9;373.36;373.81;374.27;374.73;375.18;375.64;376.1;376.55;377.01;377.47;377.92;378.38;378.84;379.29;379.75;380.21;380.67;381.12;381.58;382.04;382.49;382.95;383.41;383.87;384.32;384.78;385.24;385.7;386.15;386.61;387.07;387.53;387.98;388.44;388.9;389.36;389.82;390.27;390.73;391.19;391.65;392.1;392.56;393.02;393.48;393.94;394.4;394.85;395.31;395.77;396.23;396.69;397.14;397.6;398.06;398.52;398.98;399.44;399.9;400.35;400.81;401.27;401.73;402.19;402.65;403.11;403.57;404.02;404.48;404.94;405.4;405.86;406.32;406.78;407.24;407.7;408.16;408.61;409.07;409.53;409.99;410.45;410.91;411.37;411.83;412.29;412.75;413.21;413.67;414.13;414.59;415.05;415.51;415.97;416.43;416.89;417.35;417.81;418.27;418.73;419.19;419.65;420.11;420.57;421.03;421.49;421.95;422.41;422.87;423.33;423.79;424.25;424.71;425.17;425.63;426.09;426.55;427.01;427.47;427.93;428.39;428.85;429.32;429.78;430.24;430.7;431.16;431.62;432.08;432.54;433;433.46;433.93;434.39;434.85;435.31;435.77;436.23;436.69;437.15;437.62;438.08;438.54;439;439.46;439.92;440.39;440.85;441.31;441.77;442.23;442.69;443.16;443.62;444.08;444.54;445;445.47;445.93;446.39;446.85;447.31;447.78;448.24;448.7;449.16;449.63;450.09;450.55;451.01;451.48;451.94;452.4;452.86;453.33;453.79;454.25;454.71;455.18;455.64;456.1;456.57;457.03;457.49;457.96;458.42;458.88;459.34;459.81;460.27;460.73;461.2;461.66;462.12;462.59;463.05;463.51;463.98;464.44;464.9;465.37;465.83;466.3;466.76;467.22;467.69;468.15;468.61;469.08;469.54;470.01;470.47;470.93;471.4;471.86;472.33;472.79;473.26;473.72;474.18;474.65;475.11;475.58;476.04;476.51;476.97;477.43;477.9;478.36;478.83;479.29;479.76;480.22;480.69;481.15;481.62;482.08;482.55;483.01;483.48;483.94;484.41;484.87;485.34;485.8;486.27;486.73;487.2;487.66;488.13;488.59;489.06;489.53;489.99;490.46;490.92;491.39;491.85;492.32;492.78;493.25;493.72;494.18;494.65;495.11;495.58;496.05;496.51;496.98;497.44;497.91;498.38;498.84;499.31;499.78;500.24;500.71;501.17;501.64;502.11;502.57;503.04;503.51;503.97;504.44;504.91;505.37;505.84;506.31;506.77;507.24;507.71;508.18;508.64;509.11;509.58;510.04;510.51;510.98;511.45;511.91;512.38;512.85;513.31;513.78;514.25;514.72;515.18;515.65;516.12;516.59;517.05;517.52;517.99;518.46;518.93;519.39;519.86;520.33;520.8;521.27;521.73;522.2;522.67;523.14;523.61;524.07;524.54;525.01;525.48;525.95;526.42;526.88;527.35;527.82;528.29;528.76;529.23;529.7;530.16;530.63;531.1;531.57;532.04;532.51;532.98;533.45;533.92;534.38;534.85;535.32;535.79;536.26;536.73;537.2;537.67;538.14;538.61;539.08;539.55;540.02;540.49;540.96;541.43;541.89;542.36;542.83;543.3;543.77;544.24;544.71;545.18;545.65;546.12;546.59;547.06;547.53;548;548.47;548.94;549.41;549.88;550.35;550.83;551.3;551.77;552.24;552.71;553.18;553.65;554.12;554.59;555.06;555.53;556;556.47;556.94;557.41;557.89;558.36;558.83;559.3;559.77;560.24;560.71;561.18;561.65;562.13;562.6;563.07;563.54;564.01;564.48;564.95;565.43;565.9;566.37;566.84;567.31;567.78;568.26;568.73;569.2;569.67;570.14;570.62;571.09;571.56;572.03;572.5;572.98;573.45;573.92;574.39;574.86;575.34;575.81;576.28;576.75;577.23;577.7;578.17;578.64;579.12;579.59;580.06;580.54;581.01;581.48;581.95;582.43;582.9;583.37;583.85;584.32;584.79;585.27;585.74;586.21;586.69;587.16;587.63;588.11;588.58;589.05;589.53;590;590.47;590.95;591.42;591.89;592.37;592.84;593.31;593.79;594.26;594.74;595.21;595.68;596.16;596.63;597.11;597.58;598.06;598.53;599;599.48;599.95;600.43;600.9;601.38;601.85;602.32;602.8;603.27;603.75;604.22;604.7;605.17;605.65;606.12;606.6;607.07;607.55;608.02;608.5;608.97;609.45;609.92;610.4;610.87;611.35;611.82;612.3;612.77;613.25;613.73;614.2;614.68;615.15;615.63;616.1;616.58;617.06;617.53;618.01;618.48;618.96;619.43;619.91;620.39;620.86;621.34;621.82;622.29;622.77;623.24;623.72;624.2;624.67;625.15;625.63;626.1;626.58;627.06;627.53;628.01;628.49;628.96;629.44;629.92;630.39;630.87;631.35;631.82;632.3;632.78;633.25;633.73;634.21;634.69;635.16;635.64;636.12;636.6;637.07;637.55;638.03;638.51;638.98;639.46;639.94;640.42;640.89;641.37;641.85;642.33;642.8;643.28;643.76;644.24;644.72;645.19;645.67;646.15;646.63;647.11;647.59;648.06;648.54;649.02;649.5;649.98;650.46;650.93;651.41;651.89;652.37;652.85;653.33;653.81;654.29;654.76;655.24;655.72;656.2;656.68;657.16;657.64;658.12;658.6;659.08;659.56;660.04;660.51;660.99;661.47;661.95;662.43;662.91;663.39;663.87;664.35;664.83;665.31;665.79;666.27;666.75;667.23;667.71;668.19;668.67;669.15;669.63;670.11;670.59;671.07;671.55;672.03;672.51;672.99;673.47;673.95;674.43;674.91;675.39;675.88;676.36;676.84;677.32;677.8;678.28;678.76;679.24;679.72;680.2;680.68;681.16;681.65;682.13;682.61;683.09;683.57;684.05;684.53;685.02;685.5;685.98;686.46;686.94;687.42;687.9;688.39;688.87;689.35;689.83;690.31;690.8;691.28;691.76;692.24;692.72;693.21;693.69;694.17;694.65;695.13;695.62;696.1;696.58;697.06;697.55;698.03;698.51;698.99;699.48;699.96;700.44;700.92;701.41;701.89;702.37;702.86;703.34;703.82;704.3;704.79;705.27;705.75;706.24;706.72;707.2;707.69;708.17;708.65;709.14;709.62;710.1;710.59;711.07;711.56;712.04;712.52;713.01;713.49;713.97;714.46;714.94;715.43;715.91;716.39;716.88;717.36;717.85;718.33;718.81;719.3;719.78;720.27;720.75;721.24;721.72;722.21;722.69;723.17;723.66;724.14;724.63;725.11;725.6;726.08;726.57;727.05;727.54;728.02;728.51;728.99;729.48;729.96;730.45;730.93;731.42;731.91;732.39;732.88;733.36;733.85;734.33;734.82;735.3;735.79;736.28;736.76;737.25;737.73;738.22;738.7;739.19;739.68;740.16;740.65;741.14;741.62;742.11;742.59;743.08;743.57;744.05;744.54;745.03;745.51;746;746.49;746.97;747.46;747.95;748.43;748.92;749.41;749.89;750.38;750.87;751.35;751.84;752.33;752.82;753.3;753.79;754.28;754.76;755.25;755.74;756.23;756.71;757.2;757.69;758.18;758.66;759.15;759.64;760.13;760.62;761.1;761.59;762.08;762.57;763.06;763.54;764.03;764.52;765.01;765.5;765.98;766.47;766.96;767.45;767.94;768.43;768.92;769.4;769.89;770.38;770.87;771.36;771.85;772.34;772.83;773.31;773.8;774.29;774.78;775.27;775.76;776.25;776.74;777.23;777.72;778.21;778.69;779.18;779.67;780.16;780.65;781.14;781.63;782.12;782.61;783.1;783.59;784.08;784.57;785.06;785.55;786.04;786.53;787.02;787.51;788;788.49;788.98;789.47;789.96;790.45;790.94;791.43;791.92;792.41;792.91;793.4;793.89;794.38;794.87;795.36;795.85;796.34;796.83;797.32;797.81;798.3;798.8;799.29;799.78;800.27;800.76;801.25;801.74;802.24;802.73;803.22;803.71;804.2;804.69;805.18;805.68;806.17;806.66;807.15;807.64;808.14;808.63;809.12;809.61;810.1;810.6;811.09;811.58;812.07;812.56;813.06;813.55;814.04;814.53;815.03;815.52;816.01;816.5;817;817.49;817.98;818.48;818.97;819.46;819.95;820.45;820.94
1561;1555;1558;1564;1564;1564;1568;1567;1573;1574;1572;1574;1568;1571;1576;1575;1575;1577;1580;1578;1578;1580;1585;1586;1588;1596;1599;1591;1601;1607;1610;1607;1615;1617;1612;1623;1623;1633;1631;1628;1629;1628;1625;1620;1626;1630;1639;1634;1643;1650;1654;1656;1657;1657;1665;1667;1673;1678;1679;1689;1682;1702;1719;1727;1735;1727;1737;1748;1756;1756;1763;1775;1781;1779;1769;1767;1765;1758;1752;1749;1757;1762;1772;1779;1806;1830;1851;1865;1872;1885;1880;1882;1884;1877;1866;1871;1859;1837;1819;1807;1814;1825;1854;1881;1903;1926;1934;1931;1948;1958;1973;1994;2019;2045;2083;2115;2132;2153;2126;2109;2057;2033;2022;2048;2096;2165;2191;2208;2212;2218;2233;2257;2350;2457;2555;2633;2674;2727;2763;2786;2805;2849;2887;2905;2944;2959;3001;3065;3094;3165;3209;3277;3330;3414;3458;3500;3525;3605;3605;3630;3658;3729;3823;3864;3931;4003;3971;4081;4124;4195;4293;4370;4404;4417;4410;4434;4433;4407;4400;4440;4422;4422;4454;4437;4374;4444;4380;4401;4381;4441;4558;4604;4592;4654;4707;4701;4701;4795;4789;4730;4700;4554;4562;4531;4561;4735;4864;5043;5149;5195;5181;5291;5378;5504;5607;5745;5902;5911;5946;5938;5916;5972;6034;6145;6229;6291;6342;6418;6516;6578;6567;6576;6640;6627;6656;6687;6697;6719;6892;6934;7020;7194;7304;7330;7535;7545;7709;7790;7779;7720;7671;7564;7548;7444;7492;7527;7536;7660;7563;7692;7698;7619;7734;7671;7784;7730;7753;7770;7995;8065;8236;8262;8398;8453;8419;8419;8595;8441;8573;8510;8459;8395;8409;8318;8272;8268;8298;8237;8210;8123;8122;8146;8033;8099;8277;8069;8109;8154;8118;8077;8333;8162;8268;8450;8443;8514;8664;8929;8903;9124;9226;9468;9491;9523;9785;9730;9929;9630;9601;9675;9381;9195;9011;8910;8761;8847;8962;9053;9266;9479;9343;9796;9742;9623;9716;9804;9765;9673;9888;10213;10123;10321;10511;10639;10813;10848;11017;10912;11049;11143;11219;11122;11210;10940;10859;10924;10976;10943;10812;10935;10981;10939;11038;11216;11230;11426;11372;11422;11439;11627;11614;11611;11684;11822;12037;12052;12102;12231;12285;12307;12263;12245;12309;12160;12307;12279;11946;11967;11860;11616;11329;11413;11674;11613;11926;12030;12430;12291;12576;12552;12745;12551;12877;12861;12971;12823;13245;13060;12857;13102;12843;12861;12728;13165;13270;13440;13626;13582;13806;13686;13448;13484;13494;13291;13308;13345;13353;13345;13280;13386;13377;13324;13245;13196;13095;13145;12850;12956;12702;12851;12617;12706;12851;12785;12926;13080;13120;12945;13175;13219;13154;13404;13044;13189;13251;13214;13239;13211;13498;13438;13308;13254;13242;13278;13459;13197;13209;13248;13134;13211;13035;13126;12960;13033;12691;12736;12560;12630;12331;12461;12392;12551;12510;12582;12406;12541;12835;12484;12764;12703;12766;12707;12801;12892;12831;12913;12728;12925;13035;12995;12953;12811;12776;12869;12754;12919;12900;12885;13113;12923;13051;12931;12989;12854;12683;12832;12652;12653;12672;12641;12505;12592;12699;12616;12717;12670;12791;12979;12980;13063;13194;13122;13210;13212;13267;13152;13194;13312;13224;13198;13011;12967;12773;12685;12587;12696;12878;13047;13040;13223;13219;13129;13174;13232;13048;13151;13153;13099;13244;13144;13153;13056;13232;13028;13174;13077;13030;13118;12927;12886;13144;13008;13304;13230;13151;13405;13231;13374;13255;13197;13392;13366;13421;13254;13349;13284;13450;13309;13255;13358;13450;13322;13348;13389;13408;13282;13431;13393;13323;13352;13259;13371;13463;13440;13519;13604;13634;13693;13660;13745;13494;13625;13508;13500;13375;13354;13211;13248;13156;13151;13175;12938;13136;13028;12972;12984;12856;12799;12971;12890;12779;12877;12840;13005;12739;12856;13073;12904;12967;13012;13145;13049;13042;13028;13249;13123;13229;13256;13221;13151;12975;13084;12936;12972;13103;12950;13004;13003;12948;12869;12841;12680;12666;12687;12417;12525;12371;12178;12222;12209;12158;12094;12059;12140;12197;12112;12139;12079;12107;11776;11911;11343;11294;11178;11059;11163;11410;11567;11810;11862;11929;12147;12120;12247;12206;12202;12155;12214;12202;12143;12109;12166;12221;12143;12084;12100;12059;12062;12005;12091;12112;11977;11890;11877;11858;11754;11835;11691;11668;11630;11740;11720;11556;11533;11539;11582;11456;11368;11529;11363;11406;11295;11203;11259;11225;11132;11100;11094;11032;10934;10951;10862;10771;10833;10505;10225;10021;9774;9593;9362;9375;9444;9550;9616;9781;9821;9952;9864;9935;9908;9961;9955;9932;9905;9944;10015;10033;10087;10185;10095;9954;9957;9921;9811;9823;9750;9796;9668;9678;9723;9601;9706;9705;9753;9705;9683;9736;9731;9757;9598;9622;9657;9634;9530;9500;9530;9516;9366;9393;9335;9332;9211;9216;9136;9118;9050;8860;8603;8468;8238;7852;7676;7404;7349;7299;7340;7417;7600;7780;7958;8037;7950;7924;7880;7655;7574;7598;7597;7553;7500;7611;7518;7571;7497;7525;7617;7517;7615;7659;7581;7751;7814;7936;7990;7982;8038;8024;8089;7961;7979;7988;8024;7894;7875;7858;7849;7852;7867;7832;7786;7735;7799;7820;7845;7793;7824;7846;7796;7746;7751;7795;7746;7685;7648;7635;7635;7536;7544;7569;7547;7415;7432;7441;7433;7414;7382;7298;7342;7355;7231;7209;7158;7185;7093;6806;6352;5864;5226;4681;4242;3966;3927;4094;4269;4421;4421;4560;4701;4973;5194;5427;5749;5916;6098;6271;6395;6443;6557;6549;6552;6619;6650;6588;6557;6631;6584;6553;6511;6553;6475;6503;6456;6406;6414;6432;6414;6340;6325;6366;6315;6327;6230;6280;6237;6184;6249;6180;6122;6078;6085;6093;6030;5974;5944;5947;5836;5918;5795;5752;5729;5682;5657;5656;5578;5548;5533;5445;5488;5468;5390;5483;5376;5444;5415;5392;5416;5407;5375;5371;5329;5273;5278;5268;5227;5231;5201;5158;5178;5168;5150;5179;5141;5163;5085;5081;5055;5040;4966;4929;4918;4842;4846;4782;4741;4681;4619;4521;4442;4370;4271;4222;4190;4160;4126;4096;4089;4158;4147;4143;4260;4251;4263;4289;4255
