20140811_1725523; temp=;34.77;IT = ;80232;spec num=;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337.39;337.85;338.3;338.76;339.21;339.66;340.12;340.57;341.03;341.48;341.94;342.39;342.84;343.3;343.75;344.21;344.66;345.12;345.57;346.02;346.48;346.93;347.39;347.84;348.3;348.75;349.21;349.66;350.12;350.57;351.03;351.48;351.94;352.39;352.85;353.3;353.76;354.21;354.67;355.12;355.58;356.03;356.49;356.94;357.4;357.85;358.31;358.76;359.22;359.68;360.13;360.59;361.04;361.5;361.95;362.41;362.86;363.32;363.78;364.23;364.69;365.14;365.6;366.06;366.51;366.97;367.42;367.88;368.34;368.79;369.25;369.71;370.16;370.62;371.07;371.53;371.99;372.44;372.9;373.36;373.81;374.27;374.73;375.18;375.64;376.1;376.55;377.01;377.47;377.92;378.38;378.84;379.29;379.75;380.21;380.67;381.12;381.58;382.04;382.49;382.95;383.41;383.87;384.32;384.78;385.24;385.7;386.15;386.61;387.07;387.53;387.98;388.44;388.9;389.36;389.82;390.27;390.73;391.19;391.65;392.1;392.56;393.02;393.48;393.94;394.4;394.85;395.31;395.77;396.23;396.69;397.14;397.6;398.06;398.52;398.98;399.44;399.9;400.35;400.81;401.27;401.73;402.19;402.65;403.11;403.57;404.02;404.48;404.94;405.4;405.86;406.32;406.78;407.24;407.7;408.16;408.61;409.07;409.53;409.99;410.45;410.91;411.37;411.83;412.29;412.75;413.21;413.67;414.13;414.59;415.05;415.51;415.97;416.43;416.89;417.35;417.81;418.27;418.73;419.19;419.65;420.11;420.57;421.03;421.49;421.95;422.41;422.87;423.33;423.79;424.25;424.71;425.17;425.63;426.09;426.55;427.01;427.47;427.93;428.39;428.85;429.32;429.78;430.24;430.7;431.16;431.62;432.08;432.54;433;433.46;433.93;434.39;434.85;435.31;435.77;436.23;436.69;437.15;437.62;438.08;438.54;439;439.46;439.92;440.39;440.85;441.31;441.77;442.23;442.69;443.16;443.62;444.08;444.54;445;445.47;445.93;446.39;446.85;447.31;447.78;448.24;448.7;449.16;449.63;450.09;450.55;451.01;451.48;451.94;452.4;452.86;453.33;453.79;454.25;454.71;455.18;455.64;456.1;456.57;457.03;457.49;457.96;458.42;458.88;459.34;459.81;460.27;460.73;461.2;461.66;462.12;462.59;463.05;463.51;463.98;464.44;464.9;465.37;465.83;466.3;466.76;467.22;467.69;468.15;468.61;469.08;469.54;470.01;470.47;470.93;471.4;471.86;472.33;472.79;473.26;473.72;474.18;474.65;475.11;475.58;476.04;476.51;476.97;477.43;477.9;478.36;478.83;479.29;479.76;480.22;480.69;481.15;481.62;482.08;482.55;483.01;483.48;483.94;484.41;484.87;485.34;485.8;486.27;486.73;487.2;487.66;488.13;488.59;489.06;489.53;489.99;490.46;490.92;491.39;491.85;492.32;492.78;493.25;493.72;494.18;494.65;495.11;495.58;496.05;496.51;496.98;497.44;497.91;498.38;498.84;499.31;499.78;500.24;500.71;501.17;501.64;502.11;502.57;503.04;503.51;503.97;504.44;504.91;505.37;505.84;506.31;506.77;507.24;507.71;508.18;508.64;509.11;509.58;510.04;510.51;510.98;511.45;511.91;512.38;512.85;513.31;513.78;514.25;514.72;515.18;515.65;516.12;516.59;517.05;517.52;517.99;518.46;518.93;519.39;519.86;520.33;520.8;521.27;521.73;522.2;522.67;523.14;523.61;524.07;524.54;525.01;525.48;525.95;526.42;526.88;527.35;527.82;528.29;528.76;529.23;529.7;530.16;530.63;531.1;531.57;532.04;532.51;532.98;533.45;533.92;534.38;534.85;535.32;535.79;536.26;536.73;537.2;537.67;538.14;538.61;539.08;539.55;540.02;540.49;540.96;541.43;541.89;542.36;542.83;543.3;543.77;544.24;544.71;545.18;545.65;546.12;546.59;547.06;547.53;548;548.47;548.94;549.41;549.88;550.35;550.83;551.3;551.77;552.24;552.71;553.18;553.65;554.12;554.59;555.06;555.53;556;556.47;556.94;557.41;557.89;558.36;558.83;559.3;559.77;560.24;560.71;561.18;561.65;562.13;562.6;563.07;563.54;564.01;564.48;564.95;565.43;565.9;566.37;566.84;567.31;567.78;568.26;568.73;569.2;569.67;570.14;570.62;571.09;571.56;572.03;572.5;572.98;573.45;573.92;574.39;574.86;575.34;575.81;576.28;576.75;577.23;577.7;578.17;578.64;579.12;579.59;580.06;580.54;581.01;581.48;581.95;582.43;582.9;583.37;583.85;584.32;584.79;585.27;585.74;586.21;586.69;587.16;587.63;588.11;588.58;589.05;589.53;590;590.47;590.95;591.42;591.89;592.37;592.84;593.31;593.79;594.26;594.74;595.21;595.68;596.16;596.63;597.11;597.58;598.06;598.53;599;599.48;599.95;600.43;600.9;601.38;601.85;602.32;602.8;603.27;603.75;604.22;604.7;605.17;605.65;606.12;606.6;607.07;607.55;608.02;608.5;608.97;609.45;609.92;610.4;610.87;611.35;611.82;612.3;612.77;613.25;613.73;614.2;614.68;615.15;615.63;616.1;616.58;617.06;617.53;618.01;618.48;618.96;619.43;619.91;620.39;620.86;621.34;621.82;622.29;622.77;623.24;623.72;624.2;624.67;625.15;625.63;626.1;626.58;627.06;627.53;628.01;628.49;628.96;629.44;629.92;630.39;630.87;631.35;631.82;632.3;632.78;633.25;633.73;634.21;634.69;635.16;635.64;636.12;636.6;637.07;637.55;638.03;638.51;638.98;639.46;639.94;640.42;640.89;641.37;641.85;642.33;642.8;643.28;643.76;644.24;644.72;645.19;645.67;646.15;646.63;647.11;647.59;648.06;648.54;649.02;649.5;649.98;650.46;650.93;651.41;651.89;652.37;652.85;653.33;653.81;654.29;654.76;655.24;655.72;656.2;656.68;657.16;657.64;658.12;658.6;659.08;659.56;660.04;660.51;660.99;661.47;661.95;662.43;662.91;663.39;663.87;664.35;664.83;665.31;665.79;666.27;666.75;667.23;667.71;668.19;668.67;669.15;669.63;670.11;670.59;671.07;671.55;672.03;672.51;672.99;673.47;673.95;674.43;674.91;675.39;675.88;676.36;676.84;677.32;677.8;678.28;678.76;679.24;679.72;680.2;680.68;681.16;681.65;682.13;682.61;683.09;683.57;684.05;684.53;685.02;685.5;685.98;686.46;686.94;687.42;687.9;688.39;688.87;689.35;689.83;690.31;690.8;691.28;691.76;692.24;692.72;693.21;693.69;694.17;694.65;695.13;695.62;696.1;696.58;697.06;697.55;698.03;698.51;698.99;699.48;699.96;700.44;700.92;701.41;701.89;702.37;702.86;703.34;703.82;704.3;704.79;705.27;705.75;706.24;706.72;707.2;707.69;708.17;708.65;709.14;709.62;710.1;710.59;711.07;711.56;712.04;712.52;713.01;713.49;713.97;714.46;714.94;715.43;715.91;716.39;716.88;717.36;717.85;718.33;718.81;719.3;719.78;720.27;720.75;721.24;721.72;722.21;722.69;723.17;723.66;724.14;724.63;725.11;725.6;726.08;726.57;727.05;727.54;728.02;728.51;728.99;729.48;729.96;730.45;730.93;731.42;731.91;732.39;732.88;733.36;733.85;734.33;734.82;735.3;735.79;736.28;736.76;737.25;737.73;738.22;738.7;739.19;739.68;740.16;740.65;741.14;741.62;742.11;742.59;743.08;743.57;744.05;744.54;745.03;745.51;746;746.49;746.97;747.46;747.95;748.43;748.92;749.41;749.89;750.38;750.87;751.35;751.84;752.33;752.82;753.3;753.79;754.28;754.76;755.25;755.74;756.23;756.71;757.2;757.69;758.18;758.66;759.15;759.64;760.13;760.62;761.1;761.59;762.08;762.57;763.06;763.54;764.03;764.52;765.01;765.5;765.98;766.47;766.96;767.45;767.94;768.43;768.92;769.4;769.89;770.38;770.87;771.36;771.85;772.34;772.83;773.31;773.8;774.29;774.78;775.27;775.76;776.25;776.74;777.23;777.72;778.21;778.69;779.18;779.67;780.16;780.65;781.14;781.63;782.12;782.61;783.1;783.59;784.08;784.57;785.06;785.55;786.04;786.53;787.02;787.51;788;788.49;788.98;789.47;789.96;790.45;790.94;791.43;791.92;792.41;792.91;793.4;793.89;794.38;794.87;795.36;795.85;796.34;796.83;797.32;797.81;798.3;798.8;799.29;799.78;800.27;800.76;801.25;801.74;802.24;802.73;803.22;803.71;804.2;804.69;805.18;805.68;806.17;806.66;807.15;807.64;808.14;808.63;809.12;809.61;810.1;810.6;811.09;811.58;812.07;812.56;813.06;813.55;814.04;814.53;815.03;815.52;816.01;816.5;817;817.49;817.98;818.48;818.97;819.46;819.95;820.45;820.94
1517;1523;1528;1521;1528;1521;1524;1521;1528;1524;1524;1523;1520;1528;1525;1529;1525;1529;1523;1526;1531;1534;1527;1530;1535;1526;1532;1535;1531;1533;1536;1530;1536;1537;1535;1539;1542;1537;1532;1534;1541;1540;1538;1542;1543;1547;1549;1542;1551;1551;1552;1552;1560;1551;1559;1557;1559;1563;1568;1570;1575;1573;1577;1578;1579;1587;1582;1595;1594;1594;1595;1594;1595;1594;1593;1584;1599;1597;1603;1605;1612;1610;1624;1627;1633;1641;1643;1641;1645;1644;1646;1648;1641;1644;1641;1631;1630;1634;1636;1648;1645;1669;1680;1688;1692;1701;1709;1712;1737;1751;1776;1788;1815;1831;1852;1848;1853;1831;1824;1829;1853;1893;1929;1976;2000;2009;2009;2052;2091;2175;2275;2375;2462;2528;2594;2644;2714;2724;2818;2870;2951;2975;3038;3109;3130;3217;3277;3373;3412;3486;3558;3676;3753;3772;3786;3836;3889;3903;3973;4080;4109;4186;4256;4293;4330;4349;4429;4487;4494;4587;4531;4576;4584;4511;4483;4487;4412;4464;4490;4450;4459;4414;4443;4392;4397;4365;4437;4477;4546;4566;4582;4594;4657;4669;4629;4674;4641;4566;4428;4293;4313;4399;4466;4633;4822;5006;4964;5013;5106;5223;5250;5403;5578;5692;5760;5702;5663;5689;5703;5728;5752;5901;6011;6079;6123;6215;6315;6295;6387;6410;6421;6471;6455;6540;6599;6758;6830;6945;7122;7181;7362;7460;7624;7677;7746;7766;7750;7634;7516;7494;7524;7470;7588;7533;7731;7648;7725;7796;7863;7775;7784;7788;7740;7843;7855;8026;8107;8159;8316;8265;8425;8428;8310;8358;8277;8127;8223;8202;8031;8062;7956;7929;7840;7936;7752;7639;7556;7563;7584;7656;7620;7591;7594;7592;7567;7699;7597;7662;7684;7658;7848;7846;8067;8292;8171;8290;8394;8611;8731;8971;8913;9013;9218;9209;9049;9047;9050;9086;8599;8477;8220;8156;8183;8214;8561;8658;8720;8836;8948;9170;9150;9031;9078;9133;9161;9219;9303;9670;9731;9933;9838;9997;10162;10422;10244;10228;10299;10437;10289;10251;10277;10126;10090;10076;10005;9972;10069;10070;10081;10171;10198;10317;10428;10423;10596;10539;10565;10598;10650;10675;10937;11026;11243;11288;11363;11420;11544;11521;11458;11513;11409;11341;11478;11246;11208;11058;11056;10717;10688;10897;11046;11248;11348;11556;11765;11847;11929;11920;12061;12043;12254;12147;12521;12483;12422;12130;12256;12065;12095;12196;12340;12587;12717;12888;12982;12913;13058;12971;12951;12710;12547;12584;12465;12521;12628;12586;12726;12579;12669;12423;12367;12449;12420;12184;12272;11876;11980;11840;11525;11687;11843;11905;11865;11893;11987;12122;12138;12247;12225;12056;12329;12088;12076;12160;12057;12297;12269;12166;12316;12267;12156;12003;12090;12054;11979;11882;11977;11970;11864;11795;11592;11510;11347;11351;11175;11211;11094;11156;11008;11132;11113;11222;11178;11282;11331;11261;11366;11430;11239;11469;11361;11406;11387;11396;11448;11398;11419;11255;11282;11245;11224;11207;11293;11264;11509;11494;11411;11402;11370;11400;11140;11104;11110;11092;11045;11025;10984;11030;10950;10909;11063;11074;11110;11244;11404;11194;11300;11481;11387;11600;11406;11513;11509;11428;11476;11391;11377;11253;10810;10818;10632;10665;10633;10784;11079;11070;11170;11148;11131;11226;11176;11223;11074;11152;11236;11267;11242;11248;11168;11234;11205;11230;11151;11177;11171;11292;11111;11210;11317;11388;11261;11328;11425;11330;11403;11500;11292;11521;11386;11220;11350;11307;11300;11397;11244;11230;11302;11319;11293;11154;11169;11147;11272;11215;11158;11043;11106;11004;11117;11184;11309;11085;11341;11424;11223;11222;11210;11246;11171;11006;10989;10965;10970;10825;10704;10828;10625;10652;10617;10556;10431;10385;10389;10275;10272;10172;10222;10337;10287;10312;10152;10352;10306;10197;10448;10350;10330;10408;10439;10478;10470;10389;10523;10542;10598;10426;10325;10412;10396;10250;10325;10238;10365;10272;10256;10170;10105;10086;9951;9784;9746;9587;9536;9514;9310;9347;9322;9330;9372;9257;9326;9370;9403;9228;9298;9228;9200;8976;8753;8674;8413;8460;8595;8731;8923;8991;9124;9227;9171;9305;9274;9381;9330;9429;9313;9303;9242;9292;9336;9224;9268;9151;9222;9245;9132;9168;9179;9067;9058;8907;9017;8964;8921;8859;8806;8911;8785;8812;8660;8707;8665;8635;8664;8585;8554;8589;8490;8457;8420;8389;8418;8366;8281;8299;8234;8195;8155;8191;8079;8064;7870;7735;7562;7235;7009;6819;6828;6777;6849;6912;6976;7053;7102;7083;7092;7155;7041;7027;6981;6970;6903;7062;7063;7137;7233;7251;7241;7204;7136;7080;7052;6911;6876;6941;6898;6903;6828;6594;6612;6614;6883;6958;6926;6964;6966;6987;6954;6965;6887;6963;6989;6902;6861;6874;6866;6846;6788;6771;6734;6692;6623;6531;6389;6279;6016;5798;5552;5294;5086;4959;4871;4843;4931;5006;5219;5393;5452;5520;5473;5323;5191;5159;5058;5068;5011;5051;5052;5046;5052;5056;5041;5023;5047;5078;5132;5145;5252;5349;5425;5575;5605;5692;5675;5636;5661;5664;5573;5667;5582;5648;5623;5658;5641;5606;5666;5641;5629;5654;5657;5654;5651;5658;5651;5688;5675;5689;5631;5681;5651;5640;5520;5579;5548;5493;5499;5458;5434;5440;5408;5400;5404;5334;5370;5359;5293;5281;5256;5251;5215;5136;4992;4731;4370;3950;3558;3246;3028;2925;2913;2981;3048;3135;3207;3326;3457;3643;3779;3978;4136;4262;4426;4520;4597;4656;4672;4688;4718;4752;4682;4685;4679;4675;4700;4635;4635;4653;4660;4599;4594;4618;4566;4579;4523;4539;4470;4519;4464;4444;4448;4422;4402;4421;4394;4322;4358;4307;4275;4235;4234;4191;4190;4125;4082;4068;4045;3994;3976;3955;3931;3942;3897;3873;3864;3862;3843;3815;3789;3795;3785;3795;3786;3769;3761;3749;3739;3751;3743;3699;3692;3673;3654;3637;3631;3605;3609;3605;3601;3604;3594;3592;3594;3565;3543;3501;3473;3441;3406;3355;3324;3282;3219;3173;3112;3050;2993;2934;2877;2860;2826;2809;2804;2793;2810;2833;2851;2884;2908;2956;2959;2960;2918;2892;2871;2866
